language,text,true_Sentiment,predicted_Sentiment
bn,"RT @Eroskwt: পৃথিবীর সেরা অনূভুতি টা কোথায় জানেন???☺ মাকে জরিয়ে ধরার মধ্যেই সেরা অনূভুতিটি রয়েছে!
#ইকরি",positive,positive
bn,"@SadiaJahanEva বুকের দুধে নজর পড়ে
পাতিলে রাখা দুধে স্বর পড়",neutral,neutral
bn,@Tanjila32 আপনি আর কত বছর বাঁচতে চান?,negative,negative
bn,টেস্টে অন্যতম সেরা ওপেনার ইমরুলকে বাদ দিয়ে সাদমানকে নেয়া উচিৎ হয় নি। — watching Bangladesh vs Newzeland,neutral,neutral
bn,এতো আগুন লাগার পিছনে কি কোন দলের হাত থাকতে পারে?,negative,neutral
bn,@SadiaJahanEva শর,neutral,neutral
bn,@bdnews24com জাতীয় নির্বাচনে যদি ৬০%ভোট কাষ্ঠ হয় তাহলে এ নির্বাচনেও হবে ।,neutral,neutral
bn,আজ নিরুত্তাপ ভোট https://t.co/XosGinXsf8 https://t.co/jUSS1MDKdm,neutral,neutral
bn,"@TaslimAkterAkhi পৃথিবীর🌎 অনেকে হয়ত তোমাকে👉 কষ্ট দিয়েছে,
তবে সময়ের পরিবর্তনে তুমি তা ভুলে গেছ ।
কিন্তু তোমার প্… https://t.co/xmfhOOZH7E",positive,positive
bn,"ওমানে একজন গৃহিনী  লাগবে 
ভিসা ফ্রি 
যোগাযোগ করুন 0096894157396",neutral,neutral
bn,"৯৯.৯৯% শরীয়ত আমল করলো ০.০১% অবহেলা করলো সে না-হক্ব।
শরীয়ত অবহেলা হলে শাস্তি পাবে।
আক্বিদা বিশুদ্ধ না হলে ঈমান থাকবেনা।",negative,negative
bn,"ভারতীয় যুদ্ধবিমান গুলি করে ভূপাতিত করেছে পাকিস্তান, ২ পাইলট নিহত https://t.co/XuEsgyB2pB",negative,neutral
bn,"স্বপ্ন আর দেখি না!
স্বপ্ন দেখানোর চেষ্টা করি।😊",negative,negative
bn,বাংলা নিউজ,neutral,neutral
bn,"RT @captaintmtsteel: আপনার স্বপ্ন এখন আপনার হাতের মুঠোয়। এখনই https://t.co/a2vfbSVubm -এ যান এবং সবাইকে মাতিয়ে তুলুন আপনার কথায়,গানে বা…",positive,positive
bn,@PoranerP নাইস,positive,positive
bn,@mm11223318 ঠফফ,neutral,neutral
bn,"এবার আগুনে পুড়ে ছাই হয়ে গেছে ভাষাণটেকের বস্তি আর কেরাণীগঞ্জ পাওয়ার স্টেশন!!

ব্যাপারটা কি??

কিভাবে ঘটছে ঘটনা গু… https://t.co/1M0AjsqNSG",negative,neutral
bn,"আমারে কেউ একটু ঘুম দিবা
রাত শেষ হয়ে ভোর হয়ে যাচ্ছে
আমার ঘুম আহে না ক্যারে!!",negative,neutral
bn,"RT @ZeeBanglaCinema: ""একবার বাংলা সিনেমার রিনা ব্রাউন হতে চাই"" - @srabantismile  
দেখুন 17th March @ 6pm #ZeeBanglaCinema -র মঞ্চে শতাব্দীর…",positive,positive
bn,"হজরত আয়েশা (রা.) বলেন, ‘যখন আকাশ মেঘাচ্ছন্ন হতো এবং ঝড়ো বাতাস বইত; তখন রাসুলুল্লাহ (সা.)-এর চেহারায় https://t.co/DTCFYFjBU5",neutral,neutral
bn,RT @Farhana_Rahi: একটি বই হাজারো পবিত্র অনুভূতির প্রতীক...💙💙💙❤️ https://t.co/7QFGxAm6Xq,positive,positive
bn,"আমি রিয়েল মাদ্রিদ, বার্সেলোনা, চেলসি বা জুভেন্টাস কোন ক্লাবের খেলা দেখিনা। এমনকি কোন প্রিমিয়ার লিগ এই লিগ সেই লিগ… https://t.co/29l5YxbMt9",negative,negative
bn,@zgd4ogmtm1 জজজজ,neutral,neutral
bn,"RT @ZeeBanglaCinema: এবার #ZeeBanglaCinema তে তারকাদের ভিড়, আসছে শতাব্দীর মেগা শো #100eEkShow চোখ রাখুন। #100YearsOfBanglaCinema @AnkushLo…",positive,positive
bn,@zgd4ogmtm1 হহহহহ,neutral,neutral
bn,সেঞ্চুরির পথে তামিম https://t.co/AJpjDy5BYw,positive,positive
bn,প্রকৃতি দ্বারা বেষ্টিত এক অসাধারণ বাড়ি https://t.co/jZrHFopUSC,positive,positive
bn,"RT @ZeeBanglaCinema: ""আমি বন ফুল গো"" - @srabantismile  
এবার #ZeeBanglaCinema তে তারকাদের ভিড়, আসছে শতাব্দীর মেগা শো #100eEkShow চোখ রাখুন…",positive,positive
bn,টটেনহামের হারের শতভাগ সুবিধা কাজে লাগিয়েছে আর্সেনালও! https://t.co/oUS5BbnKCO,positive,neutral
bn,@albd1971 ভাল প্রস্তাব কার্যকর করতে পারলে দেশ আরও উন্নত হবে।,positive,positive
